Hospital Name,Hospital Email,Hospital Phone,Hospital Address,Establishment Year,Facility (Type),City,Rating (Mortality),Department Count,Doctor Count,Patient Name,Patient Phone,Patient Address,Patient Birthdate
Jackson Hospital & Clinic Inc,benito_emard@kerluke-crooks.test,4712549969027,1179 Mueller Harbors Mueller Village Street,1886,Private,Montgomery,Below,0,0
East Alabama Medical Center,madonna_schaden@shields.test,2662435830685,928 Rogahn Cove Christa Summit Street,1916,Government,Opelika,Below,0,0
Tanner Medical Center-east Alabama,quinn_mitchell@schoen.example,2387716835983,808 Mozella Fork Brakus Fall Street,1957,Government,Wedowee,Same,0,0
University Of Alabama Hospital,izola@abshire.test,3544745141191,9786 Jami Pass Jerde Mill Street,1880,Government,Birmingham,Above,0,0
Community Hospital Inc,esteban@christiansen.example,2621165960864,9969 Zulauf Park Mason Lights Street,2014,Private,Tallassee,Same,0,0
Cullman Regional Medical Center,levi@ratke.test,9634978491335,2660 Kertzmann Villages Slyvia Haven Street,2012,Government,Cullman,Below,0,0
Andalusia Health,odilia@cruickshank.test,16508019423,26082 Gottlieb Squares Chris Stream Street,1717,Proprietary,Andalusia,Same,0,0
Stringfellow Memorial Hospital,rheba_mcdermott@medhurst-harris.example,397575133967,219 Mirna Place Hamill Motorway Street,1757,Proprietary,Anniston,Same,0,0
Huntsville Hospital,anton@skiles.example,9682569752102,9108 Alisha Course Donnelly Haven Street,1824,Government,Huntsville,Below,0,0
Gadsden Regional Medical Center,marg.huel@will.example,6928008547118,193 Clotilde Overpass Rogahn Heights Street,1936,Proprietary,Gadsden,Same,0,0
Marion Regional Medical Center,tanisha_nader@koss-jacobson.example,2446010778513,5091 Roberts Center Verena Port Street,1970,Private,Hamilton,Same,0,0
Fayette Medical Center,merilyn.nicolas@buckridge-blick.example,12649067962530,5133 Malik Villages Lebsack Gardens Street,1986,Unknown,Fayette,Same,0,0
Riverview Regional Medical Center,sharell_simonis@okon.example,865920926469,763 Nicholas Heights Ernser Stream Street,1871,Proprietary,Gadsden,Above,0,0
Georgiana Medical Center,cathern.runte@veum.test,9687992757883,45958 Rosenbaum Extension Bruen Neck Street,1896,Proprietary,Georgiana,Same,0,0
Medical Center Enterprise,harlan@becker-west.example,2915172295335,43600 Roob Mills Kassandra Meadow Street,1734,Proprietary,Enterprise,Same,0,0
Greene County Hospital,faustino.deckow@kuhn-fahey.example,25312747399590,37775 Schamberger Spurs Champlin Park Street,1846,Government,Eutaw,None,0,0
Lake Martin Community Hospital,pamela@greenholt-quitzon.example,23314855601817,54200 Wilfred Terrace Carman Spring Street,1868,Proprietary,Dadeville,None,0,0
Flowers Hospital,ken@muller.example,3813453273736,7080 Strosin Drives Claud Village Street,1865,Proprietary,Dothan,Below,0,0
St Vincent's Birmingham,lynn_tillman@bins-bogan.example,12648828281843,68153 Chadwick Spring Turcotte Crest Street,1844,Private,Birmingham,Same,0,0
Bibb Medical Center,marketta_harvey@reilly.test,2903000879752,500 Adrianne Rest Bryce Meadows Street,1856,Government,Centreville,None,0,0
Lawrence Medical Center,sal_mueller@walsh-bins.test,8097165095774,900 Ondricka Locks Catharine Center Street,1950,Government,Moulton,Same,0,0
Highlands Medical Center,rachel_powlowski@bartell-cremin.example,9319844381758,50139 Wonda Square Rohan Lodge Street,1771,Government,Scottsboro,Same,0,0
Wiregrass Medical Center,lezlie_okeefe@rempel-rath.example,2184764872347,99965 Hackett Streets Shanahan Tunnel Street,1712,Private,Geneva,Same,0,0
Russell Medical Center,georgiann_stracke@tremblay.test,76719469215426,4399 Jc Ports Leida Tunnel Street,1707,Private,Alexander City,Same,0,0
Medical Center Barbour,tiana@batz.example,5995055561807,550 Rico Lights Kling Tunnel Street,1730,Government,Eufaula,Same,0,0
Clay County Hospital,conrad@berge-wiza.test,3559467525727,659 Christopher Track Elin Meadows Street,1911,Government,Ashland,Same,0,0
Northeast Alabama Regional Medical Center,rhona@harber.test,533393388543,831 DuBuque Lane Stephaine Prairie Street,1857,Government,Anniston,Same,0,0
Athens Limestone Hospital,cyndy@vandervort-tromp.test,903650323627,142 Ashley Mission Waters Lock Street,1890,Government,Athens,Same,0,0
South Baldwin Regional Medical Center,darron_dooley@hintz-johns.test,2552170633499,3205 Blanda Inlet VonRueden Loaf Street,1953,Proprietary,Foley,Same,0,0
Decatur Morgan Hospital-decatur Campus,glinda@gusikowski.example,22015049699140,9383 Zulauf Burgs Williamson Dam Street,1874,Government,Decatur,Same,0,0
Northwest Medical Center,lauren@kohler-denesik.test,178716457332306,291 Williamson Streets Rosenbaum Centers Street,1817,Proprietary,Winfield,Same,0,0
University Of South Alabama Medical Center,sid_little@fritsch.example,5007203729254,51112 Avery Manor Cindy Mills Street,1927,Government,Mobile,Same,0,0
Walker Baptist Medical Center,valencia@upton.example,2317356402985,6374 Valentin Spurs Breitenberg Trail Street,1712,Private,Jasper,Same,0,0
Providence Hospital,deanne@damore.test,5964330239399,80092 Toby Tunnel Predovic Prairie Street,1908,Church,Mobile,Below,0,0
Grove Hill Memorial Hospital,ronny@wilkinson-abernathy.test,4117077387116,94808 Wolf Pike Benito Radial Street,2019,Government,Grove Hill,Same,0,0
D C H Regional Medical Center,karly_goodwin@ziemann.test,434917071281,9229 Jaymie Hill Marks Forest Street,1836,Government,Tuscaloosa,Below,0,0
Hale County Hospital,sandee.feest@goldner.example,639352525208,12749 Latisha Station Staci Summit Street,1934,Government,Greensboro,Same,0,0
Elmore Community Hospital,fred@miller-strosin.example,8096658220427,8252 Christian Mews Noemi Dale Street,1728,Government,Wetumpka,Same,0,0
D W Mcmillan Memorial Hospital,adela.corwin@kulas.test,50717995626416,922 Jon Village Kihn Crossing Street,1772,Government,Brewton,Same,0,0
Thomas Hospital,kevin@veum-beatty.test,6792095785146,887 Edwina Rapids Consuela Forges Street,1903,Private,Fairhope,Same,0,0
Citizens Baptist Medical Center,carol@koelpin.test,8097405487919,40855 Abe Pine Richie Gateway Street,1869,Private,Talladega,Same,0,0
J Paul Jones Hospital,lyle.gislason@williamson.example,22418792777883,964 Cole Parkway Beier Trace Street,1899,Unknown,Camden,None,0,0
Princeton Baptist Medical Center,dylan@runolfsson.example,3703376785493,979 Blair Locks Ezekiel Burgs Street,2011,Church,Birmingham,Same,0,0
Grandview Medical Center,catherin@hickle.test,271831309644,441 Ashli Garden Waelchi Springs Street,1930,Proprietary,Birmingham,Same,0,0
Prattville Baptist Hospital,luana_romaguera@durgan.example,6929270515421,5092 Rosenbaum Avenue Block Camp Street,1765,Government,Prattville,Above,0,0
Pickens County Medical Center,winnifred.roob@thompson.test,5965668557838,397 Chance Hills Valentin Canyon Street,1790,Government,Carrollton,Same,0,0
Bullock County Hospital,carolin.wilderman@herzog-connelly.test,368684265442,48456 Donnette Plains Willms Cliffs Street,1807,Proprietary,Union Springs,None,0,0
Bryan W. Whitfield Memorial Hospital,edwin.nicolas@schaefer.example,2903617938236,18545 Breitenberg Flats Marilyn Orchard Street,1775,Government,Demopolis,Same,0,0
Mobile Infirmary Medical Center,dusty@lubowitz-kozey.example,21319988319457,8578 Witting Walk Wesley River Street,1786,Private,Mobile,Same,0,0
"Medical West, An Affiliate Of Uab Health System",tifany@gusikowski-crona.example,6822067589904,966 Tanna Knoll Predovic Stravenue Street,1873,Government,Bessemer,Same,0,0
Vaughan Regional Medical Center Parkway Campus,chau_fisher@doyle.test,124616993745317,360 Lynne Valley Rippin Cliffs Street,1710,Proprietary,Selma,Same,0,0
Monroe County Hospital,weldon@kulas.test,17586540619988,29375 Feil Vista Ruecker Road Street,1763,Government,Monroeville,Same,0,0
Lakeland Community Hospital,bryan@stark.example,8524712087114,2744 Ferdinand Skyway Rigoberto Passage Street,1759,Church,Haleyville,Above,0,0
Troy Regional Medical Center,luke_hoppe@cummerata-breitenberg.test,4219578935678,80343 Emard Brook Bernie Shoals Street,1833,Government,Troy,Same,0,0
Jackson Medical Center,darrel@bernier-abshire.test,559550592089,777 Miller Garden Pagac Isle Street,1753,Proprietary,Jackson,Same,0,0
North Baldwin Infirmary,rasheeda@borer-damore.test,2995052721622,81284 Klocko Station Richie Passage Street,1953,Private,Bay Minette,Same,0,0
St Vincent's St Clair,hans@runolfsson.example,99611151646221,20691 Wiegand Island Hilll Vista Street,2014,Private,Pell City,Same,0,0
Crestwood Medical Center,cher@marks.example,917930461615,48455 Bret Circle Connelly Cliff Street,1888,Proprietary,Huntsville,Same,0,0
Hill Hospital Of Sumter County,trenton_hickle@paucek.example,9621863102356,37410 Schumm Fort Goldner Circles Street,1857,Unknown,York,None,0,0
Brookwood Baptist Medical Center,adrianna_abbott@conroy.example,9626296925169,2692 Laverne Course Neville Alley Street,1930,Proprietary,Birmingham,Same,0,0
Springhill Memorial Hospital,carmon@emmerich.example,3817930919851,22188 Minh Glen Boehm Isle Street,1900,Proprietary,Mobile,Same,0,0
Rmc Jacksonville,raleigh_gleichner@doyle.example,17582779797626,40655 Jayson Ways Wolff Groves Street,1919,Proprietary,Jacksonville,None,0,0
Evergreen Medical Center,jacqualine@kub-leffler.example,23812682423507,6695 Rosenbaum Junction Thiel Station Street,1701,Proprietary,Evergreen,Same,0,0
Baptist Medical Center East,kum.stark@lindgren.example,3701595347340,800 Abram Dale Stephan Springs Street,1769,Government,Montgomery,Same,0,0
L V Stabler Memorial Hospital,ernie.marks@cremin.test,2398971655563,6698 Juan Camp Olene Plains Street,2000,Proprietary,Greenville,Same,0,0
Shoals Hospital,eloisa@schultz.example,7671361262315,351 Rutherford Motorway Ernie Mountain Street,1771,Government,Muscle Shoals,Same,0,0
Russellville Hospital,josue.powlowski@veum.test,5062024939911,336 Tod Shoal Annalee Forges Street,1910,Proprietary,Russellville,Same,0,0
Coosa Valley Medical Center,frederick@runte.example,465398150894,8041 Cecila Summit Alex Fort Street,1834,Unknown,Sylacauga,Same,0,0
Jack Hughston Memorial Hospital,temple@fritsch.test,5986637298674,42942 Terry Ports Ritchie Groves Street,1783,Government,Phenix City,None,0,0
Atmore Community Hospital,clyde.will@rowe.test,2369584214307,3584 Casper Pike Farrell Groves Street,1715,Government,Atmore,Same,0,0
St Vincent's Chilton,erin@dubuque.test,6112843502490,166 Denesik Courts Jacinto Center Street,1718,Church,Clanton,None,0,0
Washington County Hospital,shantell@carter.test,2556474406730,8324 Lianne Union Vera Wells Street,1996,Government,Chatom,None,0,0
Red Bay Hospital,marivel@purdy-connelly.example,21614166164540,5417 Meagan Turnpike Effertz Center Street,1861,Government,Red Bay,None,0,0
Choctaw General Hospital,alfonso@macgyver-cruickshank.test,134519927283879,72805 Ollie Knoll Kulas Dam Street,1713,Private,Butler,None,0,0
St Vincents Blount,chance.shanahan@jones-hessel.example,35319304805796,772 Brandee Trace Loralee Canyon Street,1721,Private,Oneonta,Same,0,0
Children's Hospital Of Alabama,kareem_raynor@lockman.example,916971403326,37740 Chester Street Claudio Turnpike Street,1879,Private,Birmingham,None,0,0
University Of S A Children's And Women's Hos,augustine.denesik@bailey.example,5215107806376,16589 Hilpert Place Oda Creek Street,1763,Government,Mobile,None,0,0
Providence Alaska Medical Center,dorthea@medhurst.example,549103819152,68508 Delbert Garden Troy Hollow Street,1858,Church,Anchorage,Same,0,0
Mat-su Regional Medical Center,keshia.luettgen@becker-gulgowski.example,5114311327502,934 Paucek Knolls Labadie Road Street,1782,Unknown,Palmer,Same,0,0
Bartlett Regional Hospital,silvana@daniel.test,22516989662091,50691 Grant Ridge Perry Islands Street,1802,Government,Juneau,Same,0,0
Fairbanks Memorial Hospital,darwin@harris-green.example,9763524755947,349 Jarrod Via Huel Prairie Street,1988,Private,Fairbanks,Same,0,0
Alaska Regional Hospital,jodi_kulas@jaskolski.test,6856819531287,777 Kutch Fall Nathanial Trace Street,1850,Proprietary,Anchorage,Same,0,0
Yukon Kuskokwim Delta Reg Hospital,emery_schaefer@jakubowski.example,938727551382,6265 Orville Wall Gorczany Pike Street,1814,Unknown,Bethel,Same,0,0
Central Peninsula General Hospital,patrica@predovic-koelpin.test,16709483145093,5775 Anton Mall Kulas Orchard Street,1755,Unknown,Soldotna,Same,0,0
Alaska Native Medical Center,luigi@johnston.example,12424118012346,1069 Sean Village Rau Village Street,1744,Government,Anchorage,Same,0,0
Providence Valdez Medical Center,gilberte@franecki.example,9742616343194,755 Jocelyn Turnpike Sallie Throughway Street,1849,Government,Valdez,None,0,0
Providence Seward Hospital,alida@lakin.test,9773512043076,31727 Cole Trail Morris Prairie Street,1768,Government,Seward,None,0,0
Sitka Community Hospital,micah.runolfsdottir@cole.test,6824504008211,19725 Clement Ports Sung Burgs Street,1954,Government,Sitka,None,0,0
Petersburg Medical Center,enda@hickle.example,2327013389752,771 Brenton Shoals Lemke Cape Street,1712,Government,Petersburg,None,0,0
Wrangell Medical Center,dirk@padberg.test,8612402672352,63729 Lowe Meadows Quigley Orchard Street,1925,Government,Wrangell,None,0,0
Providence Kodiak Island Medical Ctr,margot@rau.example,2626666030652,8365 Susy Cape Bahringer Tunnel Street,1945,Church,Kodiak,None,0,0
Cordova Community Medical Center,johnsie@bogisich-schinner.test,9722122663432,74581 Fidelia Tunnel Inocencia Spring Street,1789,Government,Cordova,None,0,0
Norton Sound Regional Hospital,qiana.lehner@dubuque.test,2353134485745,2225 Smith Canyon Wilderman Skyway Street,1761,Government,Nome,None,0,0
Kanakanak Hospital,eduardo@bednar.test,946429302746,925 D'Amore Glens Sawayn Heights Street,1700,Private,Dillingham,None,0,0
Maniilaq Health Center,kathi_runolfsson@rogahn.test,779518086995,43315 Greenholt Plaza Anh Islands Street,1703,Government,Kotzebue,None,0,0
Ketchikan Medical Center,hildegarde_gulgowski@ebert.example,3619233771166,22812 Helen Fords Fritz Station Street,2002,Church,Ketchikan,Same,0,0
Samuel Simmonds Memorial Hospital,darron@marks.example,867775936714,7849 Langosh Brooks Hilpert Brooks Street,1875,Government,Barrow,None,0,0
South Peninsula Hospital,essie_oconnell@klein-waelchi.test,116281536344,366 Jarrett Station Little Bypass Street,1789,Private,Homer,None,0,0
Mt Edgecumbe Hospital,idalia_williamson@bogisich.test,5913458622278,63378 Mann Islands Trenton Underpass Street,1766,Private,Sitka,None,0,0
Banner - University Medical Center Phoenix,juliane.bashirian@ritchie-schamberger.example,9671948077551,27556 Hauck Mall Anibal Passage Street,1960,Unknown,Phoenix,Same,0,0
Tucson Medical Center,tomasa@jones.test,7617448059279,9166 Bogan Hill Alden Loop Street,1893,Private,Tucson,Same,0,0
Verde Valley Medical Center,latrisha_rippin@towne.example,126817886740775,967 Herschel Island Lavelle Light Street,1917,Private,Cottonwood,Same,0,0
St. Mary's Hospital,randolph@dickinson-erdman.test,2556427623156,199 Erin Coves Fannie Islands Street,1729,Private,Tucson,Below,0,0
St Joseph's Hospital,gregorio@baumbach.example,6183254516060,28284 Nisha Plaza Walsh Wells Street,1903,Unknown,Tucson,Below,0,0
Yavapai Regional Medical Center,alphonso.cruickshank@hegmann-leannon.example,9746152619786,1325 Eddie Roads Lynda Ranch Street,1942,Private,Prescott,Below,0,0
Yuma Regional Medical Center,woodrow@mcglynn.example,17849677446561,6477 Jacobi Coves Jones Extension Street,1987,Private,Yuma,Same,0,0
John C. Lincoln North Mountain Hospital,stella@wolf-mcglynn.test,167011067744466,641 Frankie Pike Mario Port Street,1937,Private,Phoenix,Same,0,0
Banner Casa Grande Medical Center,rebbeca_hackett@bahringer.example,582816593153,8044 Major Mount Lauren Mission Street,1886,Unknown,Casa Grande,Same,0,0
Maricopa Medical Center,shalanda.blick@keeling.test,8099539155222,7766 Charles Trace Schmeler Fall Street,1903,Government,Phoenix,None,0,0
Flagstaff Medical Center,paulette.stark@becker.test,17841809671960,159 Kshlerin Lake Fay Isle Street,1716,Private,Flagstaff,Same,0,0
St. Joseph's Hospital And Medical Center,mei.cummings@friesen.test,3418206697798,369 Hackett Haven Wisozk Overpass Street,1897,Church,Phoenix,Same,0,0
Abrazo Central Campus,jarvis@feest-dach.example,8569861088603,7429 Predovic Lakes Boehm Shoals Street,1742,Proprietary,Phoenix,Same,0,0
Chandler Regional Medical Center,samuel.kilback@bruen.test,186813646796811,76428 Mavis Centers Camelia Street Street,1971,Unknown,Chandler,Same,0,0
St Luke's Medical Center,dusty_simonis@prohaska-strosin.example,2559323247713,7601 Muller Circles MacGyver Extensions Street,1994,Proprietary,Phoenix,Same,0,0
Scottsdale Osborn Medical Center,theron@smitham.test,8501034460769,1333 Foster Lakes Wayne Ramp Street,1732,Proprietary,Scottsdale,Same,0,0
Canyon Vista Medical Center,santiago_yost@graham.example,2905095397223,958 Agustin Turnpike Fritz Squares Street,1846,Unknown,Sierra Vista,Below,0,0
Kingman Regional Medical Center,daryl_yundt@schiller-rosenbaum.test,2251228765970,40376 Tommie Track Moen Course Street,1790,Government,Kingman,Same,0,0
Banner Boswell Medical Center,isaias.gulgowski@lemke.test,38112842799655,49104 Dominique Expressway Harvey Canyon Street,1928,Unknown,Sun City,Same,0,0
Summit Healthcare Regional Medical Center,thalia_connelly@carroll.example,948361923683,31319 Carter Bypass Renato Stream Street,1961,Private,Show Low,Same,0,0
Banner - University Medical Center Tucson Campus,jospeh.crona@luettgen.test,35913677796768,29014 Lindgren Harbors Selina Mission Street,2011,Private,Tucson,Same,0,0
Banner Desert Medical Center,tova_kshlerin@yundt-hills.test,324758573504,343 Reinger Ports Lesch Ford Street,1874,Private,Mesa,Same,0,0
Mt. Graham Regional Medical Center,tenesha@lakin-predovic.example,331442707774,27095 Daugherty Gateway McCullough Flat Street,1867,Government,Safford,None,0,0
Havasu Regional Medical Center,scot@marquardt.test,936817673288,62889 Hessel Shoals Rashad Streets Street,1828,Proprietary,Lake Havasu City,Same,0,0
Fort Defiance Indian Hospital,mitchell.lueilwitz@corkery-gulgowski.test,2487261641392,166 Royal Neck Guillermina Mountain Street,1777,Government,Fort Defiance,Same,0,0
Tuba City Regional Health Care Corporation,jamey@medhurst-waters.example,6834172169992,101 Altenwerth Mountain Bernier Vista Street,2018,Unknown,Tuba City,None,0,0
Sells Hospital,catarina.cruickshank@murray.test,2383271806952,337 Johnston Burg Doyle Landing Street,1946,Unknown,Sells,None,0,0
San Carlos Apache Healthcare,zaida@mccullough.example,3874692913810,19531 Porter Isle Rath Fall Street,1986,Government,Peridot,None,0,0
Phoenix Indian Medical Center,joetta.glover@keebler-koepp.test,6797014886098,831 Clint Estate Quigley Walks Street,1987,Government,Phoenix,None,0,0
Abrazo Scottsdale Campus,justin_hane@mueller.example,2527817941958,92975 Klara Motorway Franklyn Springs Street,1833,Proprietary,Phoenix,Same,0,0
Chinle Comprehensive Health Care Facility,willia@murray.example,24917441578267,26397 Carmine Spring Bauch Parkway Street,1714,Government,Chinle,None,0,0
Northwest Medical Center,riva.kirlin@beahan-reichel.example,2336456825596,498 Alexis Knoll Efren Cape Street,1834,Proprietary,Tucson,Below,0,0
Scottsdale Shea Medical Center,hilton_bartell@oreilly.test,25618410817780,146 Lyndon Shoal Sara Loop Street,1951,Proprietary,Scottsdale,Above,0,0
Banner Baywood Medical Center,jeannetta_mohr@feest.example,126411362347065,64443 Hessel Spurs Basil Haven Street,1922,Private,Mesa,Same,0,0
Banner Thunderbird Medical Center,becky.kertzmann@little.test,2316506031319,423 Labadie Valley Jimmy Meadows Street,1723,Government,Glendale,Same,0,0
Honorhealth Deer Valley Medical Center,gay_auer@moen.example,17846098332673,297 Santos Spurs Lenard Islands Street,1757,Private,Phoenix,Same,0,0
Banner Del E. Webb Medical Center,blair@strosin.test,23319407248777,49762 My Keys Botsford Centers Street,1905,Private,Sun City West,Same,0,0
Abrazo Arrowhead Campus,linn.dubuque@gutkowski.test,918629499275,750 Lebsack Motorway Vandervort Plaza Street,1973,Proprietary,Glendale,Same,0,0
Western Arizona Regional Medical Center,ty@collins.test,3557915425562,64520 Cummerata Bypass Durgan Village Street,1960,Proprietary,Bullhead City,Same,0,0
Mayo Clinic Hospital,heike.wolf@dickinson-lowe.example,3815987403111,52203 Fay Ford Friesen Extension Street,2011,Private,Phoenix,Above,0,0
Banner Heart Hospital,sheba_murray@spencer-wisoky.test,3532499722676,361 Cartwright Light Bins Ridge Street,1734,Private,Mesa,Above,0,0
Arizona Spine And Joint Hospital,cristopher@keebler.test,26219543210803,15766 Gutkowski Ports Raymond Fords Street,1785,Proprietary,Mesa,None,0,0
"Core Institute Specialty Hospital, The",lucille@runolfsdottir-grimes.example,2364962040001,5300 Osvaldo Station Delphia Field Street,1703,Proprietary,Phoenix,None,0,0
Abrazo West Campus,walton@casper.test,9965703404481,594 Deon Spurs Alphonse Flats Street,1783,Proprietary,Goodyear,Same,0,0
Banner-university Medical Center South Campus,renae.powlowski@smith-ritchie.example,3704072617941,57306 Madelyn Mountains Quyen Heights Street,1900,Private,Tucson,Same,0,0
Arizona Specialty Hospital,damien_shields@harvey.example,42117705709209,62890 Wuckert Ferry Demarcus Village Street,1995,Proprietary,Chandler,None,0,0
Whiteriver Phs Indian Hospital,britni_schneider@schinner.test,9951601388438,660 Smitham Villages Becker Ridge Street,1894,Government,Whiteriver,None,0,0
Oro Valley Hospital,kindra_cassin@torp.test,8419387093138,74403 Rolfson Hills Gislason Views Street,1944,Proprietary,Oro Valley,Same,0,0
Banner Estrella Medical Center,hermine.dickens@harber.test,822768963005,3786 Jennefer Plaza Hugo Trafficway Street,1767,Private,Phoenix,Same,0,0
Valley View Medical Center,nolan.aufderhar@harber-dubuque.example,9943367695013,28181 Rudy Pass Heaney Fall Street,1751,Proprietary,Fort Mohave,Same,0,0
Mercy Gilbert Medical Center,venice@beatty.example,8558360876049,99886 Lemke Mission Ariel Trail Street,1874,Church,Gilbert,Same,0,0
"Mountain Vista Medical Center, Lp",kathe_conn@dietrich.example,59913111188805,42321 Tommie Tunnel Cesar Stream Street,1873,Proprietary,Mesa,Same,0,0
Banner Gateway Medical Center,darron@runte-mckenzie.test,3114528729743,47686 Jess Mews Flatley Canyon Street,1902,Unknown,Gilbert,Same,0,0
Scottsdale Thompson Peak Medical Center,yaeko.schumm@wuckert.example,9713425392724,782 Ward Mill Bruen Lodge Street,1874,Proprietary,Scottsdale,Same,0,0
Banner Ironwood Medical Center,keisha@lockman-langosh.test,18767830578656,750 Dwight Course Felicitas Stravenue Street,1790,Private,Queen Creek,Same,0,0
O.a.s.i.s. Hospital,ashley_kreiger@predovic-roob.example,2343621792452,86377 Rodriguez Harbors Mohr Stravenue Street,1819,Private,Phoenix,None,0,0
Banner Goldfield Medical Center,melvin@harris.test,6802903820805,24926 Senger Greens Elmer View Street,1840,Unknown,Apache Junction,Same,0,0
Dignity Health - Arizona General Hospital,irwin.morar@schumm.example,6897344225180,536 Swaniawski Parks Thanh Dam Street,1810,Proprietary,Laveen,None,0,0
Santa Cruz Valley Regional Hospital,sammie@willms.example,9647166628358,6231 Huels Landing Ortiz Glens Street,1764,Proprietary,Green Valley,Same,0,0
Western Regional Medical Center,alexis_bruen@lebsack-mann.test,5319092079616,87519 Green Squares Meri Village Street,1982,Proprietary,Goodyear,None,0,0
Wickenburg Community Hospital,loria@towne.test,2574336113234,11255 Missy Flat Strosin Track Street,1763,Private,Wickenburg,None,0,0
Benson Hospital,barrett@blick.test,524371858796,916 Larson Camp Gulgowski Wells Street,2012,Private,Benson,None,0,0
"Northern Cochise Community Hospital, Inc.",dyan@luettgen.test,3502693657812,4458 Connelly Springs Tommie Land Street,2005,Government,Willcox,None,0,0
Page Hospital,salvador@koss.test,2163869441376,27602 Marcelina Drive Miles Mews Street,1720,Government,Page,None,0,0
Hopi Health Care Center,daine@waelchi.test,96514200512060,72517 Stroman Station Cedric Centers Street,1988,Government,Polacca,None,0,0
Parker Indian Health Center,carlo.cremin@jacobi.example,13408218150582,487 Chong Fork Ruecker Mission Street,1973,Government,Parker,None,0,0
Huhu Kam Memorial Hospital,delcie.russel@wintheiser-mraz.example,6217490547709,939 Bryant Crossroad Kristofer Street Street,1702,Government,Sacaton,None,0,0
Sage Memorial Hospital,tiffaney@murazik.example,824231730751,60173 Tawana Square Willena Prairie Street,1772,Private,Ganado,None,0,0
Little Colorado Medical Center,cyril.buckridge@jenkins-hudson.example,3784258166589,7694 Williamson Fords Abernathy Crescent Street,1890,Private,Winslow,None,0,0
Copper Queen Community Hospital,aracelis_reinger@huels-carter.example,2617664550273,8363 Hayes Trail Lavonne Stravenue Street,1827,Private,Bisbee,None,0,0
Holy Cross Hospital,brett_hartmann@considine.example,3898177412576,2586 Osinski Streets Brant Row Street,1789,Proprietary,Nogales,None,0,0
Cobre Valley Regional Medical Center,perry@leannon-hayes.example,2181621911526,791 Hyun Glens Ritchie Islands Street,1846,Private,Globe,Same,0,0
White Mountain Regional Medical Center,danial.cummings@collier.test,50011295053152,9169 Sauer Lodge Medhurst Island Street,1917,Private,Springerville,None,0,0
La Paz Regional Hospital,stevie.littel@kub.example,9766831434780,771 Frederic Curve Reichel Drive Street,1705,Private,Parker,Same,0,0
Banner Payson Medical Center,alfredo@fahey.test,68312913478233,411 Shonta Light Towne Gateway Street,1701,Unknown,Payson,None,0,0
Phoenix Children's Hospital,cesar_walsh@kihn.test,2692595208435,355 Schaefer Valley Reilly Green Street,2021,Private,Phoenix,None,0,0
"Hacienda Children's Hospital, Inc.",robby.rogahn@walter-jenkins.example,23913851200218,1173 Betsy Groves Ruben Ridges Street,1880,Proprietary,Mesa,None,0,0
Siloam Springs Regional Hospital,stella_gulgowski@watsica.test,2438919883662,1685 Avis View Lorrie Harbor Street,1955,Unknown,Siloam Springs,Same,0,0
Johnson Regional Medical Center,bea@carter.test,9756305900481,51794 Bins Stravenue Stracke Point Street,1938,Government,Clarksville,Same,0,0
Washington Regional Medical Center,blanche@swift.example,2503928438488,6255 Mildred Meadow Bailey Oval Street,1760,Private,Fayetteville,Below,0,0
